업소명,영업상태,지번 주소,도로명 주소,위도,경도,전화번호,면적(제곱미터),기준일자
장승포가축병원,정상,경상남도 거제시 장승포동 460-3번지 ,경상남도 거제시 장승포로1길 17 (장승포동),34.8682578,128.7247795,055-681-2821,,2022-08-25
신현동물병원,정상,경상남도 거제시 고현동 238번지 6,경상남도 거제시 거제중앙로 1830-1 (고현동),34.88191171,128.6266309,055-636-8272,175.6,2022-08-25
상아동물병원,정상,경상남도 거제시 옥포동 505-12,경상남도 거제시 옥포로26길 23 (옥포동),34.89635296,128.6913822,055-635-6004,100,2022-08-25
디스동물병원,정상,경상남도 거제시 고현동 209번지 11,경상남도 거제시 거제중앙로 1852 (고현동),34.88373779,128.6256384,055-632-2365,90.2,2022-08-25
닥터김 동물의료센터,정상,경상남도 거제시 고현동 989-13,경상남도 거제시 중곡1로 48，해원빌딩 1층 (고현동),34.89583314,128.6260913,055-680-0975,240,2022-08-25
현대동물의료센터,정상,경상남도 거제시 장평동 58번지 24,경상남도 거제시 장평로 5 (장평동),34.89035874,128.6160172,055-636-3662,63.2,2022-08-25
헤아림동물병원,정상,경상남도 거제시 아주동 1694-15,경상남도 거제시 아주1로3길52，1층(아주동),34.86541328,128.6884649,055-681-7006,146,2022-08-25
24시 더나은 동물메디컬 센터,정상,경상남도 거제시 고현동 203번지 1,경상남도 거제시 동문천로 47 (고현동),34.88300995,128.6251843,055-716-1175,,2022-08-25
거제동물메디컬센터,정상,경상남도 거제시 수월동 1043번지 92 3층 ,경상남도 거제시 수양로 456-12，3층(수월동),34.88015994,128.6460894,055-632-7582,,2022-08-25
아주동물병원,정상,경상남도 거제시 아주동 737번지 2,경상남도 거제시 거제대로 3541 (아주동),34.87441805,128.6917888,055-681-0093,79.15,2022-08-25
상문동물병원,정상,경상남도 거제시 상동동 603-3 ,경상남도 거제시 거제중앙로 1705，1층102호 (상동동),34.87251899,128.6334615,055-633-7582,50,2022-08-25
우리들동물병원,정상,경상남도 거제시 고현동 38번지 4,경상남도 거제시 고현로 107 (고현동),34.887314,128.6243965,055-635-7682,,2022-08-25
서울웰동물의료센터,정상,경상남도 거제시 고현동 1018,경상남도 거제시 중곡로1길 49，황제빌딩2층(고현동),34.89230444,128.6251126,055-736-0075,,2022-08-25
