연번,업소명,주소(도로명),전화번호
1,지동범 동물 안과 치과 병원,"부산광역시 금정구 부곡로 184, 1,2층 (부곡동)",051-515-7450
2,부곡동물병원,부산광역시 금정구 부곡로 86 (부곡동),051-517-9247
3,한독동물병원,부산광역시 금정구 서동로 200 (서동),051-531-2852
4,수종합동물병원,부산광역시 금정구 금강로 340 (장전동),051-582-9335
5,남산동물병원,부산광역시 금정구 금강로 703-3 (남산동),051-517-8275
6,에이스종합동물병원,부산광역시 금정구 금강로 578 (구서동),051-582-8701
7,구서동물병원,부산광역시 금정구 금강로 454 (구서동),051-512-1661
8,금빛동물의료센터,"부산광역시 금정구 식물원로 38, 주현빌딩 2층 (장전동)",051-515-5179
9,순동물병원,부산광역시 금정구 금강로 206-3 (장전동),051-516-7585
10,금정동물병원,부산광역시 금정구 금강로 188 (장전동),051-515-8771
11,동물병원 산책,부산광역시 금정구 수림로 25 (부곡동),051-714-0209
12,드림동물병원,부산광역시 금정구 금강로 539 (구서동),051-517-8575
13,서동 동물메디컬센터,부산광역시 금정구 서동로175번길 11 (서동),051-525-7810
14,제일2차동물메디컬센터,부산광역시 금정구 중앙대로 1754 (부곡동),051-516-1175
15,제일동물진단영상센터,부산광역시 금정구 중앙대로 1754 (부곡동),051-516-1175
16,쿨펫동물병원 이마트금정점,"부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)",051-518-1360
17,휴동물의료센터,"부산광역시 금정구 식물원로 11, 2층 (장전동)",051-513-6060
18,에이치동물메디컬센터,부산광역시 금정구 부곡로 3 (부곡동),051-583-7575
19,웰동물병원,"부산광역시 금정구 금강로403번길 1, 2층 (구서동)",051-515-7272
