구분,사업장명칭,소재지 도로명주소,소재지 지번주소,데이터기준일
1,새봄애견샵,인천광역시 중구 운중로 198 (중산동),인천광역시 중구 중산동 1315-1 ,2022-08-19
2,빼로살롱,"인천광역시 중구 하늘중앙로225번길 23, 영종스카이 오피스텔 103호 (중산동)",인천광역시 중구 중산동 1877-6 ,2022-08-19
3,숲속 동물병원,"인천광역시 중구 자연대로 40, 비젼프라자 II 109호 (중산동)",인천광역시 중구 중산동 1886-20 비젼프라자 II ,2022-08-19
4,하늘 동물병원,"인천광역시 중구 영종대로 90, 시에로빌오피스 103호 (운서동)",인천광역시 중구 운서동 2789-2 시에로빌오피스 ,2022-08-19
5,우프우프,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 401호 (중산동)",인천광역시 중구 중산동 1874-8 스카이 메디컬 프라자 ,2022-08-19
6,현대 동물병원,인천광역시 중구 제물량로 60-1 (신흥동3가),인천광역시 중구 신흥동3가 6-11 ,2022-08-19
7,참 동물병원,인천광역시 중구 우현로 51 (내동),인천광역시 중구 내동 209-42 웅이네과일 ,2022-08-19
8,펫38도씨,인천광역시 중구 운중로 99 (운남동),인천광역시 중구 운남동 22-4 ,2022-08-19
9,신공항 동물병원,"인천광역시 중구 운남동로3번길 9, 1층 (운남동)",인천광역시 중구 운남동 1570-2 ,2022-08-19
10,에이앤디 (A.N.D),인천광역시 중구 백운로107번길 68-7 (운남동),인천광역시 중구 운남동 598 ,2022-08-19
11,캐리어 끄는 댕댕이,인천광역시 중구 공항서로 463 (남북동),인천광역시 중구 남북동 785-19 ,2022-08-19
12,러블리독,"인천광역시 중구 은하수로 229, 104호 (중산동, 한신더휴스카이파크아파트)",인천광역시 중구 중산동 1911-2 한신더휴스카이파크아파트 ,2022-08-19
13,메이드 펫,"인천광역시 중구 영종대로 118, 뉴에어포트오피스텔 103호 (운서동)",인천광역시 중구 운서동 2806-1 뉴에어포트오피스텔 ,2022-08-19
14,구르미 머무는,"인천광역시 중구 은하수로 12, 501호 (중산동)",인천광역시 중구 중산동 1948-1 ,2022-08-19
15,모링모링,"인천광역시 중구 자연대로 38, 영종하늘도시 트루엘 에디션 214호 (중산동)",인천광역시 중구 중산동 1886-19 영종하늘도시 트루엘 에디션 ,2022-08-19
16,안나벨라,"인천광역시 중구 하늘달빛로 90-27, 동오프라자  207호 (중산동)",인천광역시 중구 중산동 1876-8 ,2022-08-19
17,개로만족,"인천광역시 중구 화랑목로 46-6, 1층 102호 (운서동)",인천광역시 중구 운서동 3040-3 ,2022-08-19
18,멜로멍스,"인천광역시 중구 운서1로 1, 102호 (운서동)",인천광역시 중구 운서동 2928-1 ,2022-08-19
19,봉쥬르멍멍,"인천광역시 중구 운서로7번길 30, 1층 (운서동)",인천광역시 중구 운서동 3066-1 ,2022-08-19
20,이뿌개해줄개,"인천광역시 중구 참외전로 110-1, 1층 (인현동)",인천광역시 중구 인현동 2-6 ,2022-08-19
21,AMI PET,인천광역시 중구 백운로 39(중산동),인천광역시 중구 중산동 1292-3 ,2022-08-19
22,#뽀미샾,"인천광역시 중구 참외전로 50, 1층 (전동)",인천광역시 중구 전동 25-40 ,2022-08-19
23,왔냥 또오개,"인천광역시 중구 홍예문로 66, 반석빌딩 1층 (전동)",인천광역시 중구 전동 22-7 반석빌딩 ,2022-08-19
24,영종H동물의료센터,"인천광역시 중구 자연대로 47, 스타타워 2 101호 (중산동)",인천광역시 중구 중산동 1873-3 ,2022-08-19
25,프라독,"인천광역시 중구 신포로23번길 49, 중앙프라자 (중앙동3가)",인천광역시 중구 중앙동3가 4-41 중앙프라자 ,2022-08-19
26,Happy Paws(해피포우),"인천광역시 중구 영종대로 893, 1층 118~120호 (중산동)",인천광역시 중구 중산동 1873-17 ,2022-08-19
27,같은마음,"인천광역시 중구 햇내로13번길 8, 프라임시티3 204호 (운서동)",인천광역시 중구 운서동 3091-13 프라임시티3 ,2022-08-19
28,똑띠네,"인천광역시 중구 도원로26번길 25, 1층 (도원동)",인천광역시 중구 도원동 40-4 ,2022-08-19
29,셀프워시독,"인천광역시 중구 은하수로 351, 207호 (중산동, 하늘도시우미린1단지)",인천광역시 중구 중산동 1881-1 하늘도시우미린1단지 ,2022-08-19
30,구르미살롱,"인천광역시 중구 화랑목로 46-5, 1층 (운서동)",인천광역시 중구 운서동 3037-9 ,2022-08-19
