번호,시설명,주소,전화번호,데이터기준일자
1,박동물병원,전라북도 완주군 봉동읍 봉동로 133,063-261-7189,2022-01-11
2,우리가축병원,전라북도 완주군 고산면 읍내1길 11,063-262-8575,2022-01-11
3,이영준동물병원,전라북도 완주군 봉동읍 봉동동서로 40,063-263-5100,2022-01-11
4,연합동물병원,전라북도 완주군 용진읍 완주로 179,063-271-0457,2022-01-11
5,태산동물병원,전라북도 완주군 상관면 신리로 75,063-231-1605,2022-01-11
6,최동물병원,전라북도 완주군 삼례읍 삼봉로 5-1,063-291-6200,2022-01-11
7,국립축산과학원 동물병원,전라북도 완주군 이서면 콩쥐팥쥐로 1500,063-238-7223,2022-01-11
8,광희동물병원,전라북도 완주군 이서면 콩쥐팥쥐로 1047,063-229-6649,2022-01-11
9,이서동물병원,전라북도 완주군 이서면 원은교길 10,063-222-4227,2022-01-11
10,대영동물병원,전라북도 완주군 용진읍 가목길 21,,2022-01-11
11,이노동물병원,전라북도 완주군 이서면 안전로 153,063-277-0007,2022-01-11
12,삼정동물병원,전라북도 완주군 삼례읍 삼봉로 63-34,,2022-01-11
13,상승동물병원,전라북도 완주군 봉동읍 삼봉로 914-1,,2022-01-11
14,시그니처 동물병원,전라북도 완주군 이서면 오공로 11-28,063-717-8275,2022-01-11
