구분,업소명,소재지,위도,경도,데이터기준일자
동물병원,가람동물병원,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,33.2193192,126.2527588,2022-08-09
동물병원,남원동물병원,제주특별자치도 서귀포시 남원읍 태위로 687,33.2794987,126.7198601,2022-08-09
동물병원,다산동물병원,제주특별자치도 서귀포시 표선면 일주동로6496번길 2,33.3078698,126.7779808,2022-08-09
동물병원,동물병원도담도담,제주특별자치도 서귀포시 남원읍 태위로723번길 31-11,33.2817735,126.7210102,2022-08-09
동물병원,동아동물병원,제주특별자치도 서귀포시 성산읍 서성일로 1241,33.4471316,126.9111796,2022-08-09
동물병원,맑은동물병원,제주특별자치도 서귀포시 표선면 민속해안로 3,33.3065943,126.8062515,2022-08-09
동물병원,미듬동물병원,제주특별자치도 서귀포시 대정읍 하모중앙로 32,33.2254305,126.2522777,2022-08-09
동물병원,서귀포동물병원,제주특별자치도 서귀포시 동문로 13,33.2520842,126.5627408,2022-08-09
동물병원,서귀포시축협동물병원,제주특별자치도 서귀포시 일주동로 8532,33.2550626,126.5767244,2022-08-09
동물병원,서울동물병원,제주특별자치도 서귀포시 동문로 29,33.2511026,126.5640363,2022-08-09
동물병원,이도씨 동물의료센터,제주특별자치도 서귀포시 신서귀로97번길 51,33.2539739,126.5069911,2022-08-09
동물병원,정든동물병원,제주특별자치도 서귀포시 일주동로 9117,33.2469409,126.5187774,2022-08-09
동물병원,정직한 동물병원,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,33.2807297,126.2782438,2022-08-09
동물병원,제마동물병원,제주특별자치도 서귀포시 대정읍 형제해안로 256,33.2119901,126.2919476,2022-08-09
동물병원,조은동물병원,제주특별자치도 서귀포시 동문로 40,33.2502652,126.5649142,2022-08-09
동물병원,중문동물병원,제주특별자치도 서귀포시 천제연로 265,33.2513346,126.4329881,2022-08-09
동물병원,캣츠앤독스 동물병원,제주특별자치도 서귀포시 일주동로 8621,33.2542102,126.5671529,2022-08-09
동물병원,케어팜동물병원,제주특별자치도 서귀포시 안덕면 사계북로 17-16,33.2327146,126.2904704,2022-08-09
동물병원,펫밀리 동물병원,제주특별자치도 서귀포시 대정읍 상모대서로 38,33.2261496,126.2582217,2022-08-09
동물병원,표선가축병원,제주특별자치도 서귀포시 표선면 표선관정로 113-5,33.3238285,126.8321467,2022-08-09
동물병원,표선동물병원,제주특별자치도 서귀포시 표선면 번영로 3510,33.3356088,126.8282109,2022-08-09
동물병원,현대동물병원,제주특별자치도 서귀포시 동홍로90번길 2,33.2563438,126.5682415,2022-08-09
동물병원,현클리닉,제주특별자치도 서귀포시 하신상로 174-12,33.273868,126.6098336,2022-08-09
