휴게소명,종류,위치,운영시간,휴장일,설치연도
용인(강릉),놀이터,휴게소와 주유소 사이,24시간,연중무휴,2018
덕평,놀이터,입구로부터 50m,10:00~19:00(동절기 18시까지),연중무휴,2013
충주(양평),놀이터,휴게소 전망대 옆,24시간,연중무휴,2017
단양팔경(부산),놀이터,매장 뒤 테마공원내,24시간,연중무휴,2019
금왕(제천),놀이터,매장으로부터 38m,24시간,연중무휴,2019
화서(영덕),놀이터,테마공원 내,24시간,연중무휴,2019
죽암(서울),놀이터,휴게소 우측 30m,24시간,연중무휴,2013
서산(목포),놀이터,입구로부터 300m,24시간,연중무휴,2016
군산(서울),놀이터,입구로부터 200m,24시간,연중무휴,2016
오수(완주),놀이터,창업매장과 열린매장 사이,10:00~19:00(동절기 18시까지),연중무휴,2017
진주(부산),놀이터,본관에서 25m,10시~21시(동절기 18시까지),매주월요일 휴무,2016 (21년10월 확장)
신탄진(서울),놀이터,휴게소 건물 우측 야구장 옆,09:00~18:00(동절기 17시까지),연중무휴,2019
